N,trial,Majority,EBT,ProvOnly,DS-Trust,TrustPass,TP-NoDRM,TP-NoHealth,TP-NoUncertainty,TP-NoCRV,TP-NoProvenance,mean_evidence_received,mean_integrity_failure_rate
6,0,0.6111111111111112,0.6444444444444445,0.3111111111111111,0.9,0.9666666666666667,0.9111111111111111,0.6,0.9666666666666667,0.9777777777777777,0.7777777777777778,1.0,0.11296296296296296
6,1,0.4444444444444444,0.6,0.32222222222222224,0.8222222222222222,0.9555555555555556,0.9,0.6,0.9555555555555556,0.9777777777777777,0.7,1.0,0.13148148148148148
6,2,0.4444444444444444,0.6777777777777778,0.4222222222222222,0.8444444444444444,0.9555555555555556,0.9555555555555556,0.6333333333333333,0.9555555555555556,0.9555555555555556,0.8555555555555555,1.0,0.12592592592592589
6,3,0.7333333333333333,0.7,0.4,0.9,0.9666666666666667,0.9444444444444444,0.7111111111111111,0.9666666666666667,0.9888888888888889,0.8222222222222222,1.0,0.14259259259259255
6,4,0.43333333333333335,0.5555555555555556,0.32222222222222224,0.8555555555555555,0.9555555555555556,0.8444444444444444,0.6555555555555556,0.9444444444444444,0.9777777777777777,0.7111111111111111,1.0,0.15925925925925924
6,5,0.6,0.6444444444444445,0.23333333333333334,0.8666666666666667,0.9666666666666667,0.9,0.6111111111111112,0.9666666666666667,0.9888888888888889,0.7888888888888889,1.0,0.11666666666666664
6,6,0.5444444444444444,0.6666666666666666,0.24444444444444444,0.8888888888888888,0.9666666666666667,0.8666666666666667,0.6222222222222222,0.9666666666666667,0.9777777777777777,0.7888888888888889,1.0,0.12222222222222223
6,7,0.5777777777777777,0.7444444444444445,0.4666666666666667,0.8777777777777778,0.9666666666666667,0.9333333333333333,0.7222222222222222,0.9666666666666667,0.9888888888888889,0.8333333333333334,1.0,0.1259259259259259
6,8,0.7333333333333333,0.7555555555555555,0.35555555555555557,0.8888888888888888,0.9888888888888889,0.9555555555555556,0.7111111111111111,0.9777777777777777,1.0,0.8222222222222222,1.0,0.13148148148148148
6,9,0.43333333333333335,0.6222222222222222,0.32222222222222224,0.8666666666666667,0.9444444444444444,0.9111111111111111,0.6333333333333333,0.9444444444444444,0.9666666666666667,0.7777777777777778,1.0,0.1111111111111111
6,10,0.7,0.6888888888888889,0.37777777777777777,0.9111111111111111,0.9888888888888889,0.9555555555555556,0.7111111111111111,0.9888888888888889,0.9888888888888889,0.8777777777777778,1.0,0.11481481481481483
6,11,0.36666666666666664,0.6666666666666666,0.3,0.8444444444444444,0.9555555555555556,0.9111111111111111,0.6666666666666666,0.9555555555555556,0.9666666666666667,0.8111111111111111,1.0,0.12962962962962962
6,12,0.4888888888888889,0.7111111111111111,0.34444444444444444,0.8777777777777778,0.9222222222222223,0.8777777777777778,0.6,0.9222222222222223,0.9666666666666667,0.7777777777777778,1.0,0.12407407407407407
