packet_loss,trial,TrustPass,Majority,EBT,mean_evidence_received
0.0,0,1.0,0.6777777777777778,0.7777777777777778,1.0
0.0,1,1.0,0.6555555555555556,0.7111111111111111,1.0
0.0,2,1.0,0.7111111111111111,0.8111111111111111,1.0
0.0,3,1.0,0.6888888888888889,0.7555555555555555,1.0
0.0,4,1.0,0.5666666666666667,0.7555555555555555,1.0
0.0,5,0.9888888888888889,0.7333333333333333,0.7888888888888889,1.0
0.0,6,1.0,0.6666666666666666,0.7777777777777778,1.0
0.0,7,1.0,0.6888888888888889,0.7555555555555555,1.0
0.0,8,1.0,0.7888888888888889,0.8444444444444444,1.0
0.0,9,1.0,0.5444444444444444,0.7777777777777778,1.0
0.0,10,1.0,0.6888888888888889,0.7888888888888889,1.0
0.0,11,1.0,0.6222222222222222,0.8444444444444444,1.0
0.0,12,1.0,0.6888888888888889,0.7222222222222222,1.0
0.0,13,1.0,0.8444444444444444,0.8666666666666667,1.0
0.0,14,0.9888888888888889,0.5666666666666667,0.7666666666666667,1.0
0.0,15,1.0,0.5666666666666667,0.8111111111111111,1.0
0.0,16,1.0,0.5666666666666667,0.7555555555555555,1.0
0.0,17,1.0,0.6444444444444445,0.7777777777777778,1.0
0.0,18,1.0,0.7666666666666667,0.7888888888888889,1.0
0.0,19,1.0,0.5555555555555556,0.8222222222222222,1.0
0.0,20,1.0,0.7333333333333333,0.8333333333333334,1.0
0.0,21,1.0,0.7555555555555555,0.7777777777777778,1.0
0.0,22,1.0,0.6222222222222222,0.7777777777777778,1.0
0.0,23,1.0,0.7,0.8222222222222222,1.0
0.0,24,1.0,0.8555555555555555,0.7777777777777778,1.0
0.0,25,1.0,0.7333333333333333,0.7777777777777778,1.0
0.0,26,1.0,0.6666666666666666,0.7777777777777778,1.0
0.0,27,1.0,0.4777777777777778,0.7777777777777778,1.0
0.0,28,1.0,0.7111111111111111,0.8111111111111111,1.0
0.0,29,1.0,0.6333333333333333,0.8333333333333334,1.0
0.0,30,1.0,0.6111111111111112,0.7666666666666667,1.0
0.0,31,1.0,0.4666666666666667,0.7444444444444445,1.0
0.0,32,1.0,0.7444444444444445,0.8333333333333334,1.0
0.0,33,1.0,0.5444444444444444,0.7,1.0
0.0,34,1.0,0.8222222222222222,0.7777777777777778,1.0
0.0,35,1.0,0.7333333333333333,0.8333333333333334,1.0
0.0,36,1.0,0.7888888888888889,0.8111111111111111,1.0
0.0,37,1.0,0.7777777777777778,0.8777777777777778,1.0
0.0,38,1.0,0.5333333333333333,0.8222222222222222,1.0
0.0,39,1.0,0.6,0.8333333333333334,1.0
0.0,40,1.0,0.5555555555555556,0.8444444444444444,1.0
0.0,41,1.0,0.6222222222222222,0.8,1.0
0.0,42,1.0,0.7111111111111111,0.8222222222222222,1.0
0.0,43,1.0,0.6666666666666666,0.7444444444444445,1.0
0.0,44,1.0,0.8444444444444444,0.8555555555555555,1.0
0.0,45,1.0,0.6333333333333333,0.7666666666666667,1.0
0.0,46,1.0,0.7,0.8,1.0
0.0,47,1.0,0.6888888888888889,0.7666666666666667,1.0
0.0,48,1.0,0.5888888888888889,0.8444444444444444,1.0
0.0,49,1.0,0.7222222222222222,0.8333333333333334,1.0
0.0,50,0.9777777777777777,0.5111111111111111,0.7,1.0
0.0,51,1.0,0.7666666666666667,0.8333333333333334,1.0
0.0,52,1.0,0.5666666666666667,0.7555555555555555,1.0
0.0,53,1.0,0.6777777777777778,0.8333333333333334,1.0
0.0,54,1.0,0.6111111111111112,0.8111111111111111,1.0
0.0,55,1.0,0.6666666666666666,0.8333333333333334,1.0
0.0,56,1.0,0.8222222222222222,0.8444444444444444,1.0
0.0,57,1.0,0.6,0.8555555555555555,1.0
0.0,58,1.0,0.8,0.8444444444444444,1.0
0.0,59,1.0,0.6333333333333333,0.7444444444444445,1.0
0.0,60,1.0,0.5777777777777777,0.8111111111111111,1.0
0.0,61,1.0,0.8,0.7777777777777778,1.0
0.0,62,1.0,0.6666666666666666,0.8111111111111111,1.0
0.0,63,1.0,0.6666666666666666,0.7888888888888889,1.0
0.0,64,1.0,0.7,0.7666666666666667,1.0
0.0,65,1.0,0.7777777777777778,0.7666666666666667,1.0
0.0,66,1.0,0.7888888888888889,0.8555555555555555,1.0
0.0,67,1.0,0.6111111111111112,0.7888888888888889,1.0
